Organization/Person Name,Number of Investments,Number of Exits
Newion,68,12
Fasanara Capital,68,2
Two Culture Capital,68,8
Alliance VC,67,8
Reflex Capital,67,11
Innogest Capital,67,11
Endeavour Vision,67,20
KTH Holding,67,3
SEB Venture Capital,67,21
10x Founders,66,1
United Ventures,66,8
Innovestor,66,4
Nina Capital,66,2
Emerge,66,4
Superangel,66,3
Serpentine Ventures,66,2
E-Merge,66,23
KREAXI,66,11
KAYA,65,9
Flyer One Ventures,65,2
Zee Prime Capital,65,1
APY Ventures,65,
ICLUB VC,65,6
Shilling,64,4
Superhero Capital,64,2
Stride.VC,64,4
Concentric,64,2
Encomenda VC,64,4
NextStage,64,21
Faber,63,8
Greyhound Capital,63,7
C4 Ventures,63,12
Advent Life Sciences,63,15
TrueSight Ventures,63,7
Lundbeckfonden Ventures,63,21
Partnerinvest Norr,63,9
Prime Ventures,63,20
Giant Ventures,62,4
Astanor Ventures,62,3
seed + speed Ventures,62,6
Polygon Ventures,62,2
W ventures,62,1
Samaipata,62,5
PortfoLion Capital Partners,62,8
Holland Capital,62,18
DvH Ventures,62,6
Visionaries Club,62,
Hotspur Capital,62,5
SevenVentures,61,14
Primo Capital,61,6
Oxford University Innovation,61,5
LIFTT,61,1
Bankinter,61,10
Impulse VC,61,9
Brandenburg Kapital,61,6
OostNL,60,1
Innovation Industries,60,3
Rancilio Cube Sicaf,60,17
Magnus Capital,60,
bm-t beteiligungsmanagement thuringen,60,7
Avalon Wealth Club,60,
METRO Xcel,60,5
Burda Principal Investments,60,6
Albion Capital Group,59,12
Gorilla Capital,59,5
Senovo,59,9
4Founders Capital,59,3
Wellstreet,59,7
Forward Venture Capital,59,1
Charlotte Street Capital,59,7
Innovation Capital,59,23
Sweet Capital,59,6
Climate Investment,58,1
Ananda Impact Ventures,58,4
Verlinvest,58,10
henQ,58,10
tecnet equity,58,8
TIIN Capital,58,18
Banco Sabadell,57,13
Tera Ventures,57,8
The Austrian Research Promotion Agency (FFG),57,2
Inovo.vc,57,3
3TS Capital Partners,57,18
EDFI ElectriFI,57,1
A Plus Finance,57,13
TRICAPITAL,57,4
Alesta Yatırım,57,
Samos Investments,57,7
Invest-NL,56,4
Expon Capital,56,5
Angular Ventures,56,2
Boğaziçi Ventures,56,
Latitude,56,5
BioGeneration Ventures,56,8
CommerzVentures,56,4
BeAble Capital,56,
TLcom Capital Partners,56,9
Vertis,56,6
Mobeus Equity Partners,56,13
IKIGAI,56,
MAIF Avenir,56,12
Truffle Capital,56,19
ZAKA VC,55,
CapMan,55,19
Revo Capital,55,7
Ferd,55,26
HBM Partners,55,22
German Startups Group,55,19
Boost Heroes,55,9
Reaktor Ventures,55,6
Galia Gestion,55,4
CPT Capital,54,1
Change Ventures,54,3
EASO Ventures,54,
SpeedUp Venture Capital Group,54,5
Viking Venture,54,22
Vesalius Biocapital Partners,54,9
Reference Capital SA,54,23
LU Innovation,54,4
Market One Capital,54,5
Syngenta Ventures,54,6
SET Ventures,53,8
Neosfer,53,7
Mérieux Equity Partners,53,15
BY Venture Partners,53,6
Monkfish Equity,53,14
Grosvenor Food & AgTech,53,3
FW Capital,53,7
Nova Growth Capital,53,
Cur8 Capital,53,3
NFT Ventures,53,7
South Central Ventures,53,5
NJF Capital,53,6
Ada Ventures,52,
Specialist VC,52,3
West Hill Capital,52,5
Fortino Capital,52,14
Jets Capital,52,
Sisu Game Ventures,52,4
Black Pearls VC,52,2
Investitionsbank Berlin,52,12
Digital Attraxion,52,
Pembroke VCT,52,3
Luminar Ventures,51,2
Plug and Play Spain,51,5
Pitchdrive,51,2
Spintop Ventures,51,8
Hubraum,51,8
AI Seed,51,4
APEX Ventures,51,1
Gapminder VC,51,1
Rockaway Capital,51,9
Ace Capital Partners,51,16
Firestartr,51,19
AddVenture,51,5
Turenne Capital,51,6
eQventure,51,4
AQUITI Gestion,51,5
BlackFin Capital Partners,51,7
TRAIL SOLUTIONS PATRIMOINE,51,9
Schibsted Growth,51,4
responsAbility Investments,50,6
Martlet Capital,50,5
Indico Capital Partners,50,1
CV VC,50,1
BGF Ventures,50,4
Skyfall Ventures,50,2
Rubio Impact Ventures,50,3
Brighteye Ventures,50,5
OneRagtime,50,4
Ship2B,50,3
Blossom Capital,50,4
Enterprise Equity,50,21
Borean Innovation,50,3
I-Source Gestion,50,19
WestTech Ventures,50,15
Frst,49,2
SHIFT Invest,49,2
Explorer Investments,49,3
StartersHub,49,6
BackBone Ventures,49,3
