Organization/Person Name,Number of Investments,Number of Exits
Energy Innovation Capital,48,5
RRE Ventures,601,131
Vida Ventures,58,17
Domain Associates,305,94
SpringRock Ventures,36,1
Eniac Ventures,317,64
Northgate Capital,120,49
Atento Capital,34,
Olive Tree Capital,45,2
Active Capital,77,9
Flucas Ventures,97,3
Irving Investors,50,19
Schooner Capital,66,14
Canvas Ventures,104,15
Shea Ventures,70,25
Hi2 Venture Fund,40,1
JAM Fund,98,5
McKesson Ventures,50,12
Alloy Ventures,183,53
Dundee Venture Capital,90,13
PSL Ventures,53,2
VentureSouth,155,14
SemperVirens Venture Capital,51,1
Recharge Capital,56,9
WestSummit Capital,43,14
Advance Venture Partners,34,8
Green D Ventures,183,40
Flybridge,437,76
LDV Partners,36,4
MBX Capital,43,2
Backend Capital,54,3
Fuel Venture Capital,43,5
Genoa Ventures,35,4
Fika Ventures,97,6
DivcoWest,31,4
Lateral Frontiers,46,1
Acorn Pacific Ventures,30,3
Acre Venture Partners,44,1
Artiman Ventures,105,18
Arrowroot Capital Management,33,10
New Leaf Venture Partners,181,57
Placeholder,67,1
Knollwood Investment Advisory,45,4
Mohr Davidow Ventures,308,85
CAVU Consumer Partners,38,7
Ballast Point Ventures,46,8
Bienville Capital,74,11
Webb Investment Network,156,51
Asset Management Ventures (AMV),155,32
BIP Capital,73,15
Morningside Group,163,33
HLM Venture Partners,134,48
The Yield Lab,56,3
Plum Alley,41,3
Snowflake Ventures,41,4
Lemnos VC,52,9
