Organization/Person Name,Number of Investments,Number of Exits,Region,Score
Two Culture Capital,68,8.0,EU,84.0
Alliance VC,67,8.0,EU,83.0
Reflex Capital,67,11.0,EU,89.0
Innogest Capital,67,11.0,EU,89.0
Endeavour Vision,67,20.0,EU,107.0
KTH Holding,67,3.0,EU,73.0
SEB Venture Capital,67,21.0,EU,109.0
10x Founders,66,1.0,EU,68.0
United Ventures,66,8.0,EU,82.0
Innovestor,66,4.0,EU,74.0
Nina Capital,66,2.0,EU,70.0
Emerge,66,4.0,EU,74.0
Superangel,66,3.0,EU,72.0
Serpentine Ventures,66,2.0,EU,70.0
E-Merge,66,23.0,EU,112.0
KREAXI,66,11.0,EU,88.0
KAYA,65,9.0,EU,83.0
Flyer One Ventures,65,2.0,EU,69.0
Zee Prime Capital,65,1.0,EU,67.0
APY Ventures,65,,EU,
ICLUB VC,65,6.0,EU,77.0
Shilling,64,4.0,EU,72.0
Superhero Capital,64,2.0,EU,68.0
Stride.VC,64,4.0,EU,72.0
Concentric,64,2.0,EU,68.0
Encomenda VC,64,4.0,EU,72.0
NextStage,64,21.0,EU,106.0
Faber,63,8.0,EU,79.0
Greyhound Capital,63,7.0,EU,77.0
C4 Ventures,63,12.0,EU,87.0
Advent Life Sciences,63,15.0,EU,93.0
TrueSight Ventures,63,7.0,EU,77.0
Lundbeckfonden Ventures,63,21.0,EU,105.0
Partnerinvest Norr,63,9.0,EU,81.0
Prime Ventures,63,20.0,EU,103.0
Giant Ventures,62,4.0,EU,70.0
Astanor Ventures,62,3.0,EU,68.0
seed + speed Ventures,62,6.0,EU,74.0
Polygon Ventures,62,2.0,EU,66.0
W ventures,62,1.0,EU,64.0
Samaipata,62,5.0,EU,72.0
PortfoLion Capital Partners,62,8.0,EU,78.0
Holland Capital,62,18.0,EU,98.0
DvH Ventures,62,6.0,EU,74.0
Visionaries Club,62,,EU,
Hotspur Capital,62,5.0,EU,72.0
SevenVentures,61,14.0,EU,89.0
Primo Capital,61,6.0,EU,73.0
Oxford University Innovation,61,5.0,EU,71.0
LIFTT,61,1.0,EU,63.0
Bankinter,61,10.0,EU,81.0
Impulse VC,61,9.0,EU,79.0
Brandenburg Kapital,61,6.0,EU,73.0
OostNL,60,1.0,EU,62.0
Innovation Industries,60,3.0,EU,66.0
Rancilio Cube Sicaf,60,17.0,EU,94.0
Magnus Capital,60,,EU,
bm-t beteiligungsmanagement thuringen,60,7.0,EU,74.0
Avalon Wealth Club,60,,EU,
METRO Xcel,60,5.0,EU,70.0
Burda Principal Investments,60,6.0,EU,72.0
Albion Capital Group,59,12.0,EU,83.0
Gorilla Capital,59,5.0,EU,69.0
Senovo,59,9.0,EU,77.0
4Founders Capital,59,3.0,EU,65.0
Wellstreet,59,7.0,EU,73.0
Forward Venture Capital,59,1.0,EU,61.0
Charlotte Street Capital,59,7.0,EU,73.0
Innovation Capital,59,23.0,EU,105.0
Sweet Capital,59,6.0,EU,71.0
Climate Investment,58,1.0,EU,60.0
Ananda Impact Ventures,58,4.0,EU,66.0
Verlinvest,58,10.0,EU,78.0
henQ,58,10.0,EU,78.0
tecnet equity,58,8.0,EU,74.0
TIIN Capital,58,18.0,EU,94.0
Banco Sabadell,57,13.0,EU,83.0
Tera Ventures,57,8.0,EU,73.0
The Austrian Research Promotion Agency (FFG),57,2.0,EU,61.0
Inovo.vc,57,3.0,EU,63.0
3TS Capital Partners,57,18.0,EU,93.0
EDFI ElectriFI,57,1.0,EU,59.0
A Plus Finance,57,13.0,EU,83.0
TRICAPITAL,57,4.0,EU,65.0
Alesta Yatırım,57,,EU,
Samos Investments,57,7.0,EU,71.0
Invest-NL,56,4.0,EU,64.0
Expon Capital,56,5.0,EU,66.0
Angular Ventures,56,2.0,EU,60.0
Boğaziçi Ventures,56,,EU,
Latitude,56,5.0,EU,66.0
BioGeneration Ventures,56,8.0,EU,72.0
CommerzVentures,56,4.0,EU,64.0
BeAble Capital,56,,EU,
TLcom Capital Partners,56,9.0,EU,74.0
Vertis,56,6.0,EU,68.0
Mobeus Equity Partners,56,13.0,EU,82.0
IKIGAI,56,,EU,
MAIF Avenir,56,12.0,EU,80.0
Truffle Capital,56,19.0,EU,94.0
ZAKA VC,55,,EU,
CapMan,55,19.0,EU,93.0
Revo Capital,55,7.0,EU,69.0
Ferd,55,26.0,EU,107.0
HBM Partners,55,22.0,EU,99.0
German Startups Group,55,19.0,EU,93.0
Boost Heroes,55,9.0,EU,73.0
Reaktor Ventures,55,6.0,EU,67.0
Galia Gestion,55,4.0,EU,63.0
CPT Capital,54,1.0,EU,56.0
Change Ventures,54,3.0,EU,60.0
EASO Ventures,54,,EU,
SpeedUp Venture Capital Group,54,5.0,EU,64.0
Viking Venture,54,22.0,EU,98.0
Vesalius Biocapital Partners,54,9.0,EU,72.0
Reference Capital SA,54,23.0,EU,100.0
LU Innovation,54,4.0,EU,62.0
Market One Capital,54,5.0,EU,64.0
Syngenta Ventures,54,6.0,EU,66.0
SET Ventures,53,8.0,EU,69.0
Neosfer,53,7.0,EU,67.0
Mérieux Equity Partners,53,15.0,EU,83.0
BY Venture Partners,53,6.0,EU,65.0
Monkfish Equity,53,14.0,EU,81.0
Grosvenor Food & AgTech,53,3.0,EU,59.0
FW Capital,53,7.0,EU,67.0
Nova Growth Capital,53,,EU,
Cur8 Capital,53,3.0,EU,59.0
NFT Ventures,53,7.0,EU,67.0
South Central Ventures,53,5.0,EU,63.0
NJF Capital,53,6.0,EU,65.0
Ada Ventures,52,,EU,
Specialist VC,52,3.0,EU,58.0
West Hill Capital,52,5.0,EU,62.0
Fortino Capital,52,14.0,EU,80.0
Jets Capital,52,,EU,
Sisu Game Ventures,52,4.0,EU,60.0
Black Pearls VC,52,2.0,EU,56.0
Investitionsbank Berlin,52,12.0,EU,76.0
Digital Attraxion,52,,EU,
Pembroke VCT,52,3.0,EU,58.0
Luminar Ventures,51,2.0,EU,55.0
Plug and Play Spain,51,5.0,EU,61.0
Pitchdrive,51,2.0,EU,55.0
Spintop Ventures,51,8.0,EU,67.0
Hubraum,51,8.0,EU,67.0
AI Seed,51,4.0,EU,59.0
APEX Ventures,51,1.0,EU,53.0
Gapminder VC,51,1.0,EU,53.0
Rockaway Capital,51,9.0,EU,69.0
Ace Capital Partners,51,16.0,EU,83.0
Firestartr,51,19.0,EU,89.0
AddVenture,51,5.0,EU,61.0
Turenne Capital,51,6.0,EU,63.0
eQventure,51,4.0,EU,59.0
AQUITI Gestion,51,5.0,EU,61.0
BlackFin Capital Partners,51,7.0,EU,65.0
TRAIL SOLUTIONS PATRIMOINE,51,9.0,EU,69.0
Schibsted Growth,51,4.0,EU,59.0
responsAbility Investments,50,6.0,EU,62.0
Martlet Capital,50,5.0,EU,60.0
Indico Capital Partners,50,1.0,EU,52.0
CV VC,50,1.0,EU,52.0
BGF Ventures,50,4.0,EU,58.0
Skyfall Ventures,50,2.0,EU,54.0
Rubio Impact Ventures,50,3.0,EU,56.0
Brighteye Ventures,50,5.0,EU,60.0
OneRagtime,50,4.0,EU,58.0
Ship2B,50,3.0,EU,56.0
Blossom Capital,50,4.0,EU,58.0
Enterprise Equity,50,21.0,EU,92.0
Borean Innovation,50,3.0,EU,56.0
I-Source Gestion,50,19.0,EU,88.0
WestTech Ventures,50,15.0,EU,80.0
Frst,49,2.0,EU,53.0
SHIFT Invest,49,2.0,EU,53.0
Explorer Investments,49,3.0,EU,55.0
StartersHub,49,6.0,EU,61.0
BackBone Ventures,49,3.0,EU,55.0
KIZOO Technology Capital,49,5.0,EU,59.0
Pi Campus,49,7.0,EU,63.0
Bertelsmann India Investments,49,4.0,EU,57.0
Next Media Accelerator,49,5.0,EU,59.0
CM-CIC Capital Prive,49,15.0,EU,79.0
Augmentum Fintech,48,7.0,EU,62.0
M&G Investments,48,10.0,EU,68.0
VEF,48,3.0,EU,54.0
Creator Fund,48,1.0,EU,50.0
Clarendon Fund Managers,48,3.0,EU,54.0
Medicxi,48,13.0,EU,74.0
Bynd Venture Capital,48,5.0,EU,58.0
Unruly Capital,48,1.0,EU,50.0
H14,48,6.0,EU,60.0
Inbox Capital,48,8.0,EU,64.0
BB Biotech Ventures,48,12.0,EU,72.0
Neomed Management,48,19.0,EU,86.0
Anaxago,48,8.0,EU,64.0
VentureFounders,48,7.0,EU,62.0
AIB Seed Capital Fund,48,11.0,EU,70.0
EWOR,47,,EU,
Finnfund,47,6.0,EU,59.0
Hi Inov - Dentressangle,47,7.0,EU,61.0
MITON,47,3.0,EU,53.0
Blackfinch Ventures,47,1.0,EU,49.0
The Delta,47,1.0,EU,49.0
Quadrille Capital,47,11.0,EU,69.0
Bright Capital,47,12.0,EU,71.0
N1,47,,EU,
Principia SGR,47,8.0,EU,63.0
Boost Fund,47,1.0,EU,49.0
Neulogy Ventures,47,4.0,EU,55.0
DOEN Participaties,46,2.0,EU,50.0
Graduate Entrepreneur Fund,46,,EU,
Moonrock Capital,46,,EU,
212,46,3.0,EU,52.0
Bullnet Capital,46,6.0,EU,58.0
Syncona Partners LLP,46,10.0,EU,66.0
Nanabianca,46,5.0,EU,56.0
Buildit Accelerator,46,,EU,
Crescent Capital,46,15.0,EU,76.0
CDP Equity,46,2.0,EU,50.0
J12,46,1.0,EU,48.0
Neuhaus Partners,46,21.0,EU,88.0
Angel Investment Network,46,7.0,EU,60.0
Vsquared Ventures,45,,EU,
DAO Maker,45,,EU,
DFF Ventures,45,1.0,EU,47.0
Endeit Capital,45,23.0,EU,91.0
Day One Capital,45,6.0,EU,57.0
Matterwave Ventures,45,1.0,EU,47.0
Lighthouse Ventures,45,2.0,EU,49.0
Guinness Ventures,45,3.0,EU,51.0
KR1,45,,EU,
LVL1 Group,45,10.0,EU,65.0
FTTF,45,1.0,EU,47.0
Redline Capital,45,13.0,EU,71.0
Technology Fund,45,4.0,EU,53.0
Apicap,45,14.0,EU,73.0
Greenfield,44,1.0,EU,46.0
Moonfire Ventures,44,1.0,EU,46.0
Pale blue dot,44,,EU,
Yabeo,44,7.0,EU,58.0
Ponderosa Ventures,44,,EU,
Educapital,44,2.0,EU,48.0
Contrarian Ventures,44,1.0,EU,46.0
First Momentum Ventures,44,2.0,EU,48.0
Anterra Capital,44,3.0,EU,50.0
Munich Venture Partners,44,8.0,EU,60.0
Enjoyventure Management,44,6.0,EU,56.0
Symvan Capital,44,,EU,
Innovatiefonds Noord-Holland,44,,EU,
Atlante Ventures,44,6.0,EU,56.0
Demium,43,1.0,EU,45.0
Insurtech Gateway,43,2.0,EU,47.0
Statkraft Ventures,43,4.0,EU,51.0
Vendep Capital,43,3.0,EU,49.0
Launchbay Capital,43,4.0,EU,51.0
O2h Ventures,43,4.0,EU,51.0
Seroba Life Sciences,43,10.0,EU,63.0
J&T Ventures,43,5.0,EU,53.0
IRDI SORIDEC Gestion,43,2.0,EU,47.0
Spark Ventures,43,11.0,EU,65.0
Entrepreneurs Fund,43,14.0,EU,71.0
Inventures SA,43,4.0,EU,51.0
Opes Impact Fund,43,1.0,EU,45.0
ADV,43,5.0,EU,53.0
Hiro Capital,42,4.0,EU,50.0
TechVision Fund,42,6.0,EU,54.0
Dig Ventures,42,3.0,EU,48.0
Aggregate Media,42,1.0,EU,44.0
Ring Capital,42,4.0,EU,50.0
dmg ventures,42,9.0,EU,60.0
2Shares,42,1.0,EU,44.0
Frog Capital,42,13.0,EU,68.0
Crowberry Capital,42,1.0,EU,44.0
Gresham House Ventures,42,2.0,EU,46.0
Jenson Funding Partners,42,,EU,
LeadX Capital Partners,42,4.0,EU,50.0
O.G. Venture Partners,42,5.0,EU,52.0
Media Ventures,42,9.0,EU,60.0
Swiss Founders Fund,42,5.0,EU,52.0
TechOne VC,42,1.0,EU,44.0
SMOK Ventures,42,,EU,
MPGI,42,5.0,EU,52.0
Aqua Spark,41,2.0,EU,45.0
NEAR Foundation,41,,EU,
Voima Ventures,41,1.0,EU,43.0
Nord France Amorcage,41,3.0,EU,47.0
TRGC,41,,EU,
Diffusion Capital Partners,41,2.0,EU,45.0
Btomorrow Ventures,41,2.0,EU,45.0
DOB Equity,41,,EU,
CABRA VC,41,5.0,EU,51.0
Active Venture Partners,41,13.0,EU,67.0
RTA.vc,41,3.0,EU,47.0
Sviluppo Imprese Centro Italia,41,5.0,EU,51.0
Sure Valley Ventures,41,5.0,EU,51.0
Korelya Capital,41,2.0,EU,45.0
Innovations Kapital,41,15.0,EU,71.0
Groupe Arnault,41,18.0,EU,77.0
NLC,40,,EU,
Dementia Discovery Fund,40,3.0,EU,46.0
Singular,40,1.0,EU,42.0
Active Partners,40,1.0,EU,42.0
Metavallon VC,40,2.0,EU,44.0
Invitalia,40,,EU,
Dialectic,40,1.0,EU,42.0
Early Game Ventures,40,,EU,
AENU,40,,EU,
Seier Capital,40,4.0,EU,48.0
Western Development Commission,40,5.0,EU,50.0
FORWARD.one,40,2.0,EU,44.0
InReach Ventures,40,6.0,EU,52.0
Goodwell Investments,40,,EU,
SmartFin,40,7.0,EU,54.0
Everstake Capital,40,,EU,
Creative UK,40,3.0,EU,46.0
Emertec,40,5.0,EU,50.0
Doughty Hanson & Co,40,16.0,EU,72.0
Keen Venture Partners,40,4.0,EU,48.0
E3 Capital,40,2.0,EU,44.0
Carbon13,39,,EU,
Fidelity International,39,15.0,EU,69.0
Heliad Equity Partners,39,8.0,EU,55.0
European Investment Fund,39,5.0,EU,49.0
Blue Wire Capital,39,4.0,EU,47.0
Illusian Founder Office,39,1.0,EU,41.0
Karma Ventures,39,4.0,EU,47.0
Quantonation,39,1.0,EU,41.0
Re-Pie Asset Management,39,3.0,EU,45.0
G1 Ventures,39,1.0,EU,41.0
Longwall Venture,39,,EU,
1818 Venture Capital,39,5.0,EU,49.0
UCLB,39,13.0,EU,65.0
Arts Alliance,39,9.0,EU,57.0
CEA Investissement,39,8.0,EU,55.0
IDC Ventures,39,2.0,EU,43.0
Carlson ASI EVIG Alfa VC Fund,39,,EU,
Bonsai Venture Capital SCR,39,9.0,EU,57.0
SFPI-FPIM,39,4.0,EU,47.0
New Business Venture Fund,39,3.0,EU,45.0
Eyrir Venture Management,39,1.0,EU,41.0
Renaissance Capital Partners,39,5.0,EU,49.0
Co-FundNI,39,4.0,EU,47.0
Fraunhofer Venture,39,5.0,EU,49.0
Sciety,38,9.0,EU,56.0
OTB Ventures,38,2.0,EU,42.0
IW Capital,38,1.0,EU,40.0
Übermorgen Ventures,38,,EU,
Nordic Makers,38,4.0,EU,46.0
Endeavour Ventures,38,7.0,EU,52.0
Velo Partners,38,6.0,EU,50.0
Beyond Impact,38,3.0,EU,44.0
ProVenture,38,8.0,EU,54.0
SIDE Capital,38,3.0,EU,44.0
Xevin Investments,38,4.0,EU,46.0
Vertical.vc,38,1.0,EU,40.0
Braveheart Investment Group,38,6.0,EU,50.0
Expansion Capital,38,1.0,EU,40.0
Quan Technology Fund,38,9.0,EU,56.0
UCL Technology Fund,38,6.0,EU,50.0
noa,37,1.0,EU,39.0
finleap,37,8.0,EU,53.0
octopus investments,37,15.0,EU,67.0
V-Bio Ventures,37,1.0,EU,39.0
Public,37,2.0,EU,41.0
EquityPitcher Ventures,37,1.0,EU,39.0
Mercuri,37,,EU,
Schroder Ventures,37,19.0,EU,75.0
bValue Fund,37,6.0,EU,49.0
Inventages Venture Capital Investment Inc.,37,2.0,EU,41.0
Vitosha Venture Partners,37,,EU,
Join Capital,37,5.0,EU,47.0
Milano Investment Partners SGR,37,,EU,
Growth Engine,37,3.0,EU,43.0
Overkill Ventures,37,2.0,EU,41.0
HardGamma Ventures,37,4.0,EU,45.0
CB Investment Management,37,,EU,
CoinShares,36,1.0,EU,38.0
Antai Ventures,36,4.0,EU,44.0
Polymorphic Capital,36,,EU,
Dreamcraft Ventures,36,2.0,EU,40.0
Santander UK,36,4.0,EU,44.0
Frumtak Ventures,36,2.0,EU,40.0
Outward VC,36,3.0,EU,42.0
UNIQA Ventures,36,7.0,EU,50.0
LeanSquare,36,1.0,EU,38.0
SHS Capital,36,6.0,EU,48.0
SMRK VC Fund,36,2.0,EU,40.0
AirAngels,36,1.0,EU,38.0
BitStone Capital,36,4.0,EU,44.0
Agronomics,36,1.0,EU,38.0
OCCIDENT,36,3.0,EU,42.0
Phystech Ventures,36,8.0,EU,52.0
Tet Ventures,36,2.0,EU,40.0
U-Start,36,4.0,EU,44.0
French Partners,36,4.0,EU,44.0
QUBIS,36,6.0,EU,48.0
WING by Digital Wallonia,36,6.0,EU,48.0
Freigeist Capital,36,7.0,EU,50.0
EBRD Venture Capital,35,10.0,EU,55.0
Portfolio Ventures,35,1.0,EU,37.0
Unbound,35,3.0,EU,41.0
British Design Fund,35,,EU,
Invest Northern Ireland,35,7.0,EU,49.0
Founders,35,2.0,EU,39.0
PDENH,35,1.0,EU,37.0
RI Digital Ventures,35,12.0,EU,59.0
LEA Partners,35,5.0,EU,45.0
FinLab,35,8.0,EU,51.0
SODICAL,35,,EU,
Marathon Venture Capital,35,4.0,EU,43.0
Indaco Venture Partners,35,3.0,EU,41.0
Evonik Venture Capital,35,3.0,EU,41.0
BitScale,35,,EU,
TempoCap,35,15.0,EU,65.0
North East Growth Capital Fund,35,,EU,
Jaina Capital,35,12.0,EU,59.0
Normandie Participations,35,1.0,EU,37.0
Karatage,34,1.0,EU,36.0
Auxxo,34,,EU,
Neva SGR,34,3.0,EU,40.0
MSM,34,2.0,EU,38.0
Finovam Gestion,34,,EU,
RockawayX,34,,EU,
Signals Venture Capital,34,3.0,EU,40.0
NordicNinja VC,34,,EU,
BM H Beteiligungs-Managementgesellschaft Hessen,34,,EU,
Open Circle Capital,34,4.0,EU,42.0
Angel Capital Management,34,3.0,EU,40.0
Juno Capital Partners,34,2.0,EU,38.0
Seed Fonds Aachen,34,7.0,EU,48.0
Inventure Partners,34,6.0,EU,46.0
EnBW New Ventures,34,4.0,EU,42.0
Citius,34,3.0,EU,40.0
ACT Venture Partners,34,3.0,EU,40.0
Fondazione Social Venture Giordano dell'Amore,34,,EU,
Galileo Partners,34,12.0,EU,58.0
ICONIUM,33,1.0,EU,35.0
imec.xpand,33,,EU,
Middlegame Ventures,33,6.0,EU,45.0
Wille Finance,33,3.0,EU,39.0
Sambrinvest,33,2.0,EU,37.0
PT1,33,,EU,
Laser Digital,33,,EU,
Russian Direct Investment Fund,33,4.0,EU,41.0
Ahren Innovation Capital,33,6.0,EU,45.0
Flash Ventures,33,2.0,EU,37.0
PeakBridge,33,1.0,EU,35.0
Semantic Ventures,33,,EU,
Uni.Fund,33,,EU,
Cemex Ventures,33,3.0,EU,39.0
Lemonade Stand,33,,EU,
DEPO Ventures,33,2.0,EU,37.0
Movens Capital,33,,EU,
Id4 ventures,33,3.0,EU,39.0
Alfvén & Didrikson,33,6.0,EU,45.0
Think.Health,33,3.0,EU,39.0
Digital Future,33,6.0,EU,45.0
Pleiade Venture,33,8.0,EU,49.0
LT Capital,33,1.0,EU,35.0
Elevation Capital Partners,33,1.0,EU,35.0
3B Future Health Fund,33,5.0,EU,43.0
Crista Galli Ventures,33,1.0,EU,35.0
Petit Poucet,33,3.0,EU,39.0
GM&C Life Sciences Fund,33,,EU,
Loric Ventures,33,4.0,EU,41.0
Nordstar,32,1.0,EU,34.0
FIRSTPICK,32,,EU,
British Patient Capital,32,1.0,EU,34.0
Conviction VC,32,6.0,EU,44.0
Supernode Global,32,2.0,EU,36.0
Lunar Ventures,32,,EU,
GoHub Ventures,32,,EU,
kopa ventures,32,2.0,EU,36.0
BonVenture,32,2.0,EU,36.0
Sturgeon Capital,32,1.0,EU,34.0
Inovexus,32,,EU,
Nexit Ventures,32,14.0,EU,60.0
Panakes Partners,32,,EU,
SINTEF Venture AS,32,4.0,EU,40.0
ICOS Capital Management,32,1.0,EU,34.0
Venista Ventures,32,6.0,EU,44.0
northstar.vc,32,1.0,EU,34.0
Nordic Eye Venture Capital,32,3.0,EU,38.0
Venture Stars,32,5.0,EU,42.0
Boundary Holding,32,4.0,EU,40.0
Avala Capital,32,9.0,EU,50.0
Virtual Network,32,10.0,EU,52.0
CNI,32,5.0,EU,42.0
ECONA AG,32,15.0,EU,62.0
Aviva Ventures,32,4.0,EU,40.0
Centripetal,32,4.0,EU,40.0
Imperious Group VC,32,1.0,EU,34.0
Gemma Frisius Fund,32,5.0,EU,42.0
Reuters Venture Capital,32,22.0,EU,76.0
Startupbootcamp Amsterdam,32,6.0,EU,44.0
Nordic Venture Partners (Sweden),32,14.0,EU,60.0
AFI Ventures,31,2.0,EU,35.0
SNÖ Ventures,31,3.0,EU,37.0
Arix Bioscience,31,11.0,EU,53.0
Cibus Fund,31,3.0,EU,37.0
PUSH VC,31,4.0,EU,39.0
Seed X Liechtenstein,31,1.0,EU,33.0
Fidelity International Strategic Ventures,31,4.0,EU,39.0
Genesis Ventures,31,,EU,
HPE Growth,31,3.0,EU,37.0
Raise Ventures,31,1.0,EU,33.0
Eos Venture Partners,31,3.0,EU,37.0
Future Shape,31,4.0,EU,39.0
Silicon Gardens,31,1.0,EU,33.0
Idekapital,31,1.0,EU,33.0
Edenred Capital Partners,31,5.0,EU,41.0
Inven Capital,31,3.0,EU,37.0
123Venture,31,8.0,EU,47.0
AP Ventures,31,,EU,
ICU Ventures,31,3.0,EU,37.0
Unfold.vc,31,2.0,EU,35.0
Astutia Ventures,31,11.0,EU,53.0
Node Kapital,31,,EU,
Insitor Partners,31,1.0,EU,33.0
Material V,31,4.0,EU,39.0
German Media Pool,31,7.0,EU,45.0
Sirius Venture Partners,31,8.0,EU,47.0
Edition Capital,31,1.0,EU,33.0
Aravis Ventures,31,13.0,EU,57.0
Roca X,31,1.0,EU,33.0
Aurinvest,31,10.0,EU,51.0
Clave Mayor,31,2.0,EU,35.0
Droia Ventures,31,2.0,EU,35.0
Alto Invest,31,11.0,EU,53.0
Global Life Science Ventures,31,13.0,EU,57.0
Alliance Entreprendre,31,8.0,EU,47.0
Atlantic Bridge University Fund,31,2.0,EU,35.0
NCI Gestion,31,2.0,EU,35.0
Quest for Growth,31,14.0,EU,59.0
Redcliffe Capital,31,4.0,EU,39.0
VK (ex. Mail.Ru Group),30,9.0,EU,48.0
Lloyds Banking Group,30,4.0,EU,38.0
Five Seasons Ventures,30,2.0,EU,34.0
AM Ventures,30,2.0,EU,34.0
Eterna Capital,30,2.0,EU,34.0
Alpha Intelligence Capital,30,3.0,EU,36.0
Simpact Ventures,30,,EU,
Navus Ventures,30,2.0,EU,34.0
Purple,30,,EU,
Yttrium,30,5.0,EU,40.0
Wealth Club,30,2.0,EU,34.0
Futury Capital,30,1.0,EU,32.0
Iron Wolf Capital,30,,EU,
Super Capital VC,30,,EU,
Columbia Lake Partners,30,7.0,EU,44.0
STS Ventures,30,4.0,EU,38.0
Synergo Capital,30,10.0,EU,50.0
Ilavska Vuillermoz Capital,30,2.0,EU,34.0
Vala Capital,30,1.0,EU,32.0
dRx Capital,30,3.0,EU,36.0
NewAlpha Asset Management VC,30,5.0,EU,40.0
Ithaca Investments,30,8.0,EU,46.0
Holtzbrinck Digital,30,6.0,EU,42.0
Sussex Place Ventures,30,9.0,EU,48.0
Capagro,30,,EU,
Sistema_VC,30,6.0,EU,42.0
Tribal.vc,30,4.0,EU,38.0
Teknoinvest,30,10.0,EU,50.0
SMH Venture Finance Limited,30,10.0,EU,50.0
Amino Collective,30,1.0,EU,32.0
Rhone-Alpes Creation,30,6.0,EU,42.0
