Organization/Person Name,Number of Investments,Number of Exits,Region,Score
NGP Capital,176,50.0,US,276.0
Karman Ventures (fka Moving Capital),179,11.0,US,201.0
Correlation Ventures,396,82.0,US,560.0
Nomad Capital,30,,US,
Polaris Partners,736,193.0,US,1122.0
Redwood Ventures,41,2.0,US,45.0
Nyca Partners,158,17.0,US,192.0
Dragonfly,153,5.0,US,163.0
Exact Sciences,49,1.0,US,51.0
Scrum Ventures,104,15.0,US,134.0
Redpoint,773,169.0,US,1111.0
Blu Venture Investors,103,9.0,US,121.0
Tau Ventures,64,4.0,US,72.0
TMV,62,8.0,US,78.0
Clean Energy Ventures,55,,US,
Better Ventures,83,7.0,US,97.0
a16z crypto,124,,US,
Will Ventures,37,,US,
dao5,50,,US,
Closed Loop Partners,37,1.0,US,39.0
Optum Ventures,87,10.0,US,107.0
Anzu Partners,73,5.0,US,83.0
XYZ Venture Capital,102,1.0,US,104.0
CapitalG,125,28.0,US,181.0
Sierra Ventures,419,93.0,US,605.0
WestCap,61,4.0,US,69.0
ParaFi Capital,120,2.0,US,124.0
TTV Capital,147,20.0,US,187.0
Thomvest Ventures,134,32.0,US,198.0
Capital Factory,214,30.0,US,274.0
M13,157,26.0,US,209.0
Silversmith Capital Partners,53,13.0,US,79.0
Third Rock Ventures,141,40.0,US,221.0
Finaventures,41,12.0,US,65.0
Curql,39,,US,
SV Health Investors,314,92.0,US,498.0
The Helm,30,1.0,US,32.0
Blue Collective,78,20.0,US,118.0
What If Ventures,86,5.0,US,96.0
GingerBread Capital,55,7.0,US,69.0
SV Angel,1445,465.0,US,2375.0
H20 Capital,53,1.0,US,55.0
Rock Health Capital,110,23.0,US,156.0
K5 Global,184,10.0,US,204.0
Soma Capital,526,46.0,US,618.0
SpringTime Ventures,49,2.0,US,53.0
Chapter One Ventures,64,5.0,US,74.0
Village Global,359,19.0,US,397.0
Canapi Ventures,42,2.0,US,46.0
7wire Ventures,72,4.0,US,80.0
HighSage Ventures,35,2.0,US,39.0
Kaleo Ventures,48,,US,
Castle Island Ventures,96,3.0,US,102.0
Lerer Hippeau,655,167.0,US,989.0
Stage 2 Capital,69,4.0,US,77.0
Kapor Capital,280,60.0,US,400.0
Palm Drive Capital,112,17.0,US,146.0
AlleyCorp,132,11.0,US,154.0
Lightbank,200,44.0,US,288.0
Basis Set Ventures,84,6.0,US,96.0
Access Ventures,60,2.0,US,64.0
South Park Commons,120,7.0,US,134.0
Big Brain Holdings,147,,US,
Branded Hospitality Ventures,42,5.0,US,52.0
Electric Capital,106,3.0,US,112.0
645 Ventures,113,22.0,US,157.0
Venrock,818,277.0,US,1372.0
Freestyle Capital,216,47.0,US,310.0
Elevar Equity,79,8.0,US,95.0
Wayfinder Ventures,56,3.0,US,62.0
Las Olas Venture Capital,50,2.0,US,54.0
U.S. Venture Partners,579,158.0,US,895.0
Hyde Park Venture Partners,177,42.0,US,261.0
Work-Bench,71,14.0,US,99.0
Safar Partners,65,3.0,US,71.0
Eclipse Ventures,170,18.0,US,206.0
Emerson Collective,138,21.0,US,180.0
1517 Fund,109,7.0,US,123.0
Versant Ventures,379,109.0,US,597.0
Acrew Capital,131,5.0,US,141.0
Obvious Ventures,165,17.0,US,199.0
SR One,194,59.0,US,312.0
Innospark Ventures,51,3.0,US,57.0
Third Point Ventures,105,31.0,US,167.0
Mighty Capital,31,7.0,US,45.0
Lux Capital,511,59.0,US,629.0
Flex Capital,34,2.0,US,38.0
Cultivation Capital,227,36.0,US,299.0
Fenway Summer Ventures,66,8.0,US,82.0
CircleUp,96,13.0,US,122.0
Side Door Ventures,52,2.0,US,56.0
Rally Ventures,136,26.0,US,188.0
J2 Ventures,31,,US,
Long Journey Ventures,80,7.0,US,94.0
Tribe Capital,231,9.0,US,249.0
Rockies Venture Club,77,8.0,US,93.0
Bain Capital,144,64.0,US,272.0
Dorm Room Fund,212,28.0,US,268.0
Battery Ventures,860,216.0,US,1292.0
SineWave Ventures,36,5.0,US,46.0
RET Ventures,55,4.0,US,63.0
Oceans,58,3.0,US,64.0
Climate Pledge Fund,44,1.0,US,46.0
Jefferies,43,15.0,US,73.0
Wing Venture Capital,183,24.0,US,231.0
Social Discovery Group,34,5.0,US,44.0
Variant,54,1.0,US,56.0
JAM FINTOP,31,4.0,US,39.0
Amino Capital,160,20.0,US,200.0
Rethink Impact,56,5.0,US,66.0
Revolution,264,72.0,US,408.0
Florida Funders,120,5.0,US,130.0
StartUp Health,390,33.0,US,456.0
AF Ventures,42,4.0,US,50.0
Fledge,89,,US,
Network.VC,58,5.0,US,68.0
Two Sigma Ventures,210,24.0,US,258.0
Soleus Capital,62,32.0,US,126.0
focal,40,1.0,US,42.0
URBAN-X,87,6.0,US,99.0
Future Africa,74,1.0,US,76.0
Avenir,51,5.0,US,61.0
Digitalis Ventures,75,3.0,US,81.0
AllianceBernstein,51,23.0,US,97.0
Makers Fund,118,13.0,US,144.0
Upward,31,1.0,US,33.0
Garage Capital,93,2.0,US,97.0
Builders VC,86,10.0,US,106.0
WestWave Capital,87,15.0,US,117.0
Golub Capital,41,17.0,US,75.0
Folius Ventures,57,1.0,US,59.0
LDV Capital,49,9.0,US,67.0
Peterson Ventures,240,25.0,US,290.0
Maven Ventures,96,14.0,US,124.0
Altira Group,39,10.0,US,59.0
Archetype,53,2.0,US,57.0
Berkeley SkyDeck Fund,125,4.0,US,133.0
Joyance Partners,86,7.0,US,100.0
Pangaea Ventures,66,5.0,US,76.0
Afore Capital,177,10.0,US,197.0
Synetro Group,48,3.0,US,54.0
Swift Ventures,38,1.0,US,40.0
Titanium Ventures,131,35.0,US,201.0
iSelect Fund,79,6.0,US,91.0
Congruent Ventures,116,4.0,US,124.0
GTMfund,118,5.0,US,128.0
Susquehanna International Group (SIG),140,13.0,US,166.0
Texas HALO Fund,89,3.0,US,95.0
Ludlow Ventures,166,32.0,US,230.0
Switch Ventures,65,16.0,US,97.0
HealthX Ventures,43,4.0,US,51.0
Able Partners,71,8.0,US,87.0
Greylock,883,268.0,US,1419.0
Harpoon,31,5.0,US,41.0
Boost VC,315,34.0,US,383.0
YL Ventures,62,13.0,US,88.0
Company Ventures,88,9.0,US,106.0
HOF Capital,110,6.0,US,122.0
True Ventures,727,118.0,US,963.0
Decheng Capital,91,24.0,US,139.0
Longitude Capital,124,39.0,US,202.0
Adapt Ventures,48,4.0,US,56.0
